dg (kVA),fuel type,engine model,fuel consumption (L/hr @100%),cpcb current standards
15,Diesel,AL2D,3.6,CPCB IV+
20,Diesel,AL3D,5,CPCB IV+
25,Diesel,AL4D,6.2,CPCB IV+
30,Diesel,AL4DT,7.5,CPCB IV+
40,Diesel,AL4DTI,9.5,CPCB IV+
50,Diesel,AL4DTI,12.5,CPCB IV+
62.5,Diesel,AL4DTI,15.5,CPCB IV+
75,Diesel,AL4DTI,18,CPCB IV+
82.5,Diesel,AL4DTI,20,CPCB IV+
100,Diesel,AL6D,24,CPCB IV+
125,Diesel,AL6DT,30,CPCB IV+
160,Diesel,AL6DT,38,CPCB IV+
200,Diesel,AL6DTI,48,CPCB IV+
250,Diesel,AL6DTI,60,CPCB IV+
320,Diesel,ALCRDe,78,CPCB IV+
380,Diesel,ALCRDe,92,CPCB IV+
400,Diesel,ALCRDe,100,CPCB IV+
500,Diesel,ALCRDe,120,CPCB IV+
625,Diesel,ALCRDe,145,CPCB IV+
750,Diesel,ALV12,175,CPCB IV+
800,Diesel,ALV12,190,CPCB IV+
1000,Diesel,ALV16,240,CPCB IV+
1010,Diesel,ALV16,250,CPCB IV+
1250,Diesel,ALV16,300,CPCB IV+
1400,Diesel,ALV16,330,CPCB IV+
1500,Diesel,ALV16,350,CPCB IV+
1600,Diesel,ALV20,380,CPCB IV+
1800,Diesel,ALV20,410,CPCB IV+
2000,Diesel,ALV20,440,CPCB IV+
2250,Diesel,ALV20,470,CPCB IV+
2500,Diesel,ALV20,500,CPCB IV+
15,CNG,AL15G,4 (m³/hr),CPCB IV+
25,Natural Gas,AL25G,7 (m³/hr),CPCB IV+
40,Natural Gas,AL40G,11 (m³/hr),CPCB IV+
62.5,Natural Gas,AL62.5G,16 (m³/hr),CPCB IV+
100,Natural Gas,AL100G,25 (m³/hr),CPCB IV+
150,Natural Gas,AL150G,38 (m³/hr),CPCB IV+
18,Diesel,AL2D,4.1,CPCB IV+
22,Diesel,AL3D,5.5,CPCB IV+
27.5,Diesel,AL4D,6.8,CPCB IV+
35,Diesel,AL4DT,8.4,CPCB IV+
45,Diesel,AL4DTI,11.5,CPCB IV+
55,Diesel,AL4DTI,13.5,CPCB IV+
65,Diesel,AL4DTI,16.5,CPCB IV+
70,Diesel,AL4DTI,17.5,CPCB IV+
85,Diesel,AL4DTI,21,CPCB IV+
90,Diesel,AL4DTI,22,CPCB IV+
110,Diesel,AL6D,25.5,CPCB IV+
140,Diesel,AL6DT,34,CPCB IV+
175,Diesel,AL6DT,42,CPCB IV+
225,Diesel,AL6DTI,55,CPCB IV+
275,Diesel,AL6DTI,66,CPCB IV+
300,Diesel,ALCRDe,72,CPCB IV+
350,Diesel,ALCRDe,85,CPCB IV+
420,Diesel,ALCRDe,105,CPCB IV+
480,Diesel,ALCRDe,118,CPCB IV+
550,Diesel,ALCRDe,135,CPCB IV+
700,Diesel,ALV12,168,CPCB IV+
820,Diesel,ALV12,195,CPCB IV+
900,Diesel,ALV12,210,CPCB IV+
1100,Diesel,ALV16,260,CPCB IV+
1300,Diesel,ALV16,310,CPCB IV+
1450,Diesel,ALV16,340,CPCB IV+
1550,Diesel,ALV20,360,CPCB IV+
1700,Diesel,ALV20,395,CPCB IV+
1900,Diesel,ALV20,420,CPCB IV+
2100,Diesel,ALV20,455,CPCB IV+
2400,Diesel,ALV20,490,CPCB IV+
20,CNG,AL20G,5 (m³/hr),CPCB IV+
30,Natural Gas,AL30G,8 (m³/hr),CPCB IV+
50,Natural Gas,AL50G,14 (m³/hr),CPCB IV+
80,Natural Gas,AL80G,20 (m³/hr),CPCB IV+
120,Natural Gas,AL120G,30 (m³/hr),CPCB IV+
16,Diesel,AL2D,3.8,CPCB IV+
19,Diesel,AL3D,4.7,CPCB IV+
23,Diesel,AL4D,6,CPCB IV+
28,Diesel,AL4DT,7.2,CPCB IV+
32,Diesel,AL4DT,8,CPCB IV+
38,Diesel,AL4DTI,9.4,CPCB IV+
42.5,Diesel,AL4DTI,10.7,CPCB IV+
48,Diesel,AL4DTI,12,CPCB IV+
52,Diesel,AL4DTI,13,CPCB IV+
58,Diesel,AL4DTI,14.5,CPCB IV+
68,Diesel,AL4DTI,17,CPCB IV+
72,Diesel,AL4DTI,18,CPCB IV+
78,Diesel,AL4DTI,19.5,CPCB IV+
88,Diesel,AL4DTI,21.5,CPCB IV+
