dg (kVA),fuel type,engine model,fuel consumption (L/hr @100%),cpcb current standards
15,Diesel,JCB403D-11,3.5,CPCB IV+
20,Diesel,JCB403D-15,4.8,CPCB IV+
25,Diesel,JCB404D-22,6,CPCB IV+
30,Diesel,JCB404D-22T,7.2,CPCB IV+
40,Diesel,JCB404D-22TA,9.5,CPCB IV+
50,Diesel,JCB404D-22TA,12.2,CPCB IV+
62.5,Diesel,JCB444D,15.5,CPCB IV+
75,Diesel,JCB444D-T,18,CPCB IV+
82.5,Diesel,JCB444D-T,20,CPCB IV+
100,Diesel,JCB444TCA,24,CPCB IV+
125,Diesel,JCB448TCA,30,CPCB IV+
160,Diesel,JCB448TCA,38,CPCB IV+
200,Diesel,JCB448TCA,48,CPCB IV+
250,Diesel,JCB448TCA,60,CPCB IV+
320,Diesel,JCBCRDe,78,CPCB IV+
380,Diesel,JCBCRDe,92,CPCB IV+
400,Diesel,JCBCRDe,100,CPCB IV+
500,Diesel,JCBCRDe,120,CPCB IV+
625,Diesel,JCBCRDe,145,CPCB IV+
750,Diesel,JCBV12,175,CPCB IV+
800,Diesel,JCBV12,190,CPCB IV+
1000,Diesel,JCBV16,240,CPCB IV+
1010,Diesel,JCBV16,250,CPCB IV+
1250,Diesel,JCBV16,300,CPCB IV+
1400,Diesel,JCBV16,330,CPCB IV+
1500,Diesel,JCBV16,350,CPCB IV+
1600,Diesel,JCBV20,380,CPCB IV+
1800,Diesel,JCBV20,410,CPCB IV+
2000,Diesel,JCBV20,440,CPCB IV+
2250,Diesel,JCBV20,470,CPCB IV+
2500,Diesel,JCBV20,500,CPCB IV+
20,CNG,JCBG3.3,5 (m³/hr),CPCB IV+
30,Natural Gas,JCBG3.3T,8 (m³/hr),CPCB IV+
50,Natural Gas,JCBG5.9,14 (m³/hr),CPCB IV+
80,Natural Gas,JCBG7,20 (m³/hr),CPCB IV+
100,Natural Gas,JCBG7T,28 (m³/hr),CPCB IV+
150,Natural Gas,JCBG9,38 (m³/hr),CPCB IV+
18,Diesel,JCB403D-11,4,CPCB IV+
22,Diesel,JCB403D-15,5.4,CPCB IV+
27.5,Diesel,JCB404D-22,6.8,CPCB IV+
35,Diesel,JCB404D-22T,8.4,CPCB IV+
45,Diesel,JCB404D-22TA,11.2,CPCB IV+
55,Diesel,JCB404D-22TA,13.2,CPCB IV+
65,Diesel,JCB444D,16.5,CPCB IV+
70,Diesel,JCB444D-T,17.5,CPCB IV+
85,Diesel,JCB444D-T,21,CPCB IV+
90,Diesel,JCB444TCA,22,CPCB IV+
110,Diesel,JCB444TCA,25.5,CPCB IV+
140,Diesel,JCB448TCA,34,CPCB IV+
175,Diesel,JCB448TCA,42,CPCB IV+
225,Diesel,JCB448TCA,55,CPCB IV+
275,Diesel,JCB448TCA,66,CPCB IV+
300,Diesel,JCBCRDe,72,CPCB IV+
350,Diesel,JCBCRDe,85,CPCB IV+
420,Diesel,JCBCRDe,105,CPCB IV+
480,Diesel,JCBCRDe,118,CPCB IV+
550,Diesel,JCBCRDe,135,CPCB IV+
700,Diesel,JCBV12,168,CPCB IV+
820,Diesel,JCBV12,195,CPCB IV+
900,Diesel,JCBV12,210,CPCB IV+
1100,Diesel,JCBV16,260,CPCB IV+
1300,Diesel,JCBV16,310,CPCB IV+
1450,Diesel,JCBV16,340,CPCB IV+
1550,Diesel,JCBV20,360,CPCB IV+
1700,Diesel,JCBV20,395,CPCB IV+
1900,Diesel,JCBV20,420,CPCB IV+
2100,Diesel,JCBV20,455,CPCB IV+
2400,Diesel,JCBV20,490,CPCB IV+
25,CNG,JCBG3.3,7 (m³/hr),CPCB IV+
40,Natural Gas,JCBG5.9,12 (m³/hr),CPCB IV+
60,Natural Gas,JCBG5.9,16 (m³/hr),CPCB IV+
90,Natural Gas,JCBG7,24 (m³/hr),CPCB IV+
120,Natural Gas,JCBG7T,32 (m³/hr),CPCB IV+
16,Diesel,JCB403D-11,3.7,CPCB IV+
19,Diesel,JCB403D-15,4.6,CPCB IV+
23,Diesel,JCB404D-22,5.9,CPCB IV+
28,Diesel,JCB404D-22T,7,CPCB IV+
32,Diesel,JCB404D-22T,7.8,CPCB IV+
38,Diesel,JCB404D-22TA,9.2,CPCB IV+
42.5,Diesel,JCB404D-22TA,10.5,CPCB IV+
48,Diesel,JCB404D-22TA,11.8,CPCB IV+
52,Diesel,JCB404D-22TA,12.8,CPCB IV+
58,Diesel,JCB444D,14.5,CPCB IV+
68,Diesel,JCB444D,16.8,CPCB IV+
72,Diesel,JCB444D-T,17.8,CPCB IV+
78,Diesel,JCB444D-T,19.2,CPCB IV+
88,Diesel,JCB444TCA,21.2,CPCB IV+
95,Diesel,JCB444TCA,23.2,CPCB IV+
105,Diesel,JCB444TCA,25.2,CPCB IV+
115,Diesel,JCB448TCA,27.5,CPCB IV+
135,Diesel,JCB448TCA,32.5,CPCB IV+
