dg (kVA),fuel type,engine model,fuel consumption (L/hr @100%),cpcb current standards
15,Diesel,3R1040,3.6,CPCB IV+
20,Diesel,3R1040T,5,CPCB IV+
25,Diesel,4R1040,6.2,CPCB IV+
30,Diesel,4R1040T,7.5,CPCB IV+
40,Diesel,4R1040TA,9.8,CPCB IV+
50,Diesel,4R1040TA,12.5,CPCB IV+
62.5,Diesel,4R1040TA,15.5,CPCB IV+
75,Diesel,4R1040TA,18,CPCB IV+
82.5,Diesel,4R1040TA,20,CPCB IV+
100,Diesel,4R1040TA,24,CPCB IV+
125,Diesel,6R1080TA,30,CPCB IV+
160,Diesel,6R1080TA,38,CPCB IV+
200,Diesel,6R1080TA,48,CPCB IV+
250,Diesel,6R1080TA,60,CPCB IV+
320,Diesel,6SL1500TA,78,CPCB IV+
380,Diesel,6SL1500TA,92,CPCB IV+
400,Diesel,6SL1500TA,100,CPCB IV+
500,Diesel,8SL1500TA,120,CPCB IV+
625,Diesel,8SL1500TA,145,CPCB IV+
750,Diesel,12SL1500TA,175,CPCB IV+
800,Diesel,12SL1500TA,190,CPCB IV+
1000,Diesel,12SL1500TA,240,CPCB IV+
1010,Diesel,12SL1500TA,250,CPCB IV+
1250,Diesel,16SL1500TA,300,CPCB IV+
1400,Diesel,16SL1500TA,330,CPCB IV+
1500,Diesel,16SL1500TA,350,CPCB IV+
1600,Diesel,16SL1500TA,380,CPCB IV+
1800,Diesel,16SL1500TA,410,CPCB IV+
2000,Diesel,16SL1500TA,440,CPCB IV+
2250,Diesel,20SL1500TA,470,CPCB IV+
2500,Diesel,20SL1500TA,500,CPCB IV+
15,CNG,KG15-G,4 (m³/hr),CPCB IV+
25,Natural Gas,KG25-G,7 (m³/hr),CPCB IV+
40,Natural Gas,KG40-G,11 (m³/hr),CPCB IV+
62.5,Natural Gas,KG62.5-G,16 (m³/hr),CPCB IV+
100,Natural Gas,KG100-G,25 (m³/hr),CPCB IV+
150,Natural Gas,KG150-G,38 (m³/hr),CPCB IV+
18,Diesel,3R1040,4.2,CPCB IV+
22,Diesel,3R1040T,5.6,CPCB IV+
27.5,Diesel,4R1040,6.8,CPCB IV+
35,Diesel,4R1040T,8.5,CPCB IV+
45,Diesel,4R1040TA,11.5,CPCB IV+
55,Diesel,4R1040TA,13.5,CPCB IV+
65,Diesel,4R1040TA,16.5,CPCB IV+
70,Diesel,4R1040TA,17.5,CPCB IV+
85,Diesel,4R1040TA,21,CPCB IV+
90,Diesel,4R1040TA,22,CPCB IV+
110,Diesel,6R1080TA,26,CPCB IV+
140,Diesel,6R1080TA,34,CPCB IV+
175,Diesel,6R1080TA,42,CPCB IV+
225,Diesel,6R1080TA,55,CPCB IV+
275,Diesel,6R1080TA,66,CPCB IV+
300,Diesel,6SL1500TA,72,CPCB IV+
350,Diesel,6SL1500TA,85,CPCB IV+
420,Diesel,8SL1500TA,105,CPCB IV+
480,Diesel,8SL1500TA,118,CPCB IV+
550,Diesel,8SL1500TA,135,CPCB IV+
700,Diesel,12SL1500TA,168,CPCB IV+
820,Diesel,12SL1500TA,195,CPCB IV+
900,Diesel,12SL1500TA,210,CPCB IV+
1100,Diesel,12SL1500TA,260,CPCB IV+
1300,Diesel,16SL1500TA,310,CPCB IV+
1450,Diesel,16SL1500TA,340,CPCB IV+
1550,Diesel,16SL1500TA,360,CPCB IV+
1700,Diesel,16SL1500TA,395,CPCB IV+
1900,Diesel,16SL1500TA,420,CPCB IV+
2100,Diesel,20SL1500TA,455,CPCB IV+
2400,Diesel,20SL1500TA,490,CPCB IV+
20,CNG,KG20-G,5 (m³/hr),CPCB IV+
30,Natural Gas,KG30-G,8 (m³/hr),CPCB IV+
50,Natural Gas,KG50-G,14 (m³/hr),CPCB IV+
80,Natural Gas,KG80-G,20 (m³/hr),CPCB IV+
120,Natural Gas,KG120-G,30 (m³/hr),CPCB IV+
16,Diesel,3R1040,3.9,CPCB IV+
19,Diesel,3R1040T,4.8,CPCB IV+
23,Diesel,4R1040,6,CPCB IV+
28,Diesel,4R1040T,7.2,CPCB IV+
32,Diesel,4R1040T,8,CPCB IV+
38,Diesel,4R1040TA,9.5,CPCB IV+
42.5,Diesel,4R1040TA,10.8,CPCB IV+
48,Diesel,4R1040TA,12,CPCB IV+
52,Diesel,4R1040TA,13,CPCB IV+
58,Diesel,4R1040TA,14.5,CPCB IV+
68,Diesel,4R1040TA,17,CPCB IV+
72,Diesel,4R1040TA,18,CPCB IV+
78,Diesel,4R1040TA,19.5,CPCB IV+
88,Diesel,4R1040TA,21.5,CPCB IV+
95,Diesel,4R1040TA,23,CPCB IV+
105,Diesel,6R1080TA,25.5,CPCB IV+
115,Diesel,6R1080TA,27.5,CPCB IV+
135,Diesel,6R1080TA,32.5,CPCB IV+
155,Diesel,6R1080TA,37.5,CPCB IV+
165,Diesel,6R1080TA,39.5,CPCB IV+
185,Diesel,6R1080TA,44,CPCB IV+
210,Diesel,6R1080TA,50,CPCB IV+
260,Diesel,6SL1500TA,65,CPCB IV+
310,Diesel,6SL1500TA,75,CPCB IV+
330,Diesel,6SL1500TA,80,CPCB IV+
360,Diesel,6SL1500TA,88,CPCB IV+
410,Diesel,8SL1500TA,102,CPCB IV+
460,Diesel,8SL1500TA,115,CPCB IV+
520,Diesel,8SL1500TA,130,CPCB IV+
580,Diesel,12SL1500TA,145,CPCB IV+
650,Diesel,12SL1500TA,160,CPCB IV+
720,Diesel,12SL1500TA,175,CPCB IV+
780,Diesel,12SL1500TA,190,CPCB IV+
880,Diesel,12SL1500TA,210,CPCB IV+
980,Diesel,12SL1500TA,230,CPCB IV+
1080,Diesel,12SL1500TA,255,CPCB IV+
1180,Diesel,16SL1500TA,285,CPCB IV+
1480,Diesel,16SL1500TA,345,CPCB IV+
1580,Diesel,16SL1500TA,365,CPCB IV+
1680,Diesel,16SL1500TA,390,CPCB IV+
1780,Diesel,16SL1500TA,405,CPCB IV+
1880,Diesel,16SL1500TA,420,CPCB IV+
1980,Diesel,16SL1500TA,435,CPCB IV+
2080,Diesel,20SL1500TA,460,CPCB IV+
2350,Diesel,20SL1500TA,485,CPCB IV+
2480,Diesel,20SL1500TA,498,CPCB IV+
25,CNG,KG25-G,7 (m³/hr),CPCB IV+
45,Natural Gas,KG45-G,12 (m³/hr),CPCB IV+
70,Natural Gas,KG70-G,18 (m³/hr),CPCB IV+
110,Natural Gas,KG110-G,28 (m³/hr),CPCB IV+
140,Natural Gas,KG140-G,36 (m³/hr),CPCB IV+
