Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
Daikin,FTKF35TV,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
Daikin,FTKF50TV,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
Daikin,FTKM35TV,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
Daikin,FTKM50TV,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,5 Star,Inverter
Daikin,FTKR50TV,1.5,~1.40,R32,~5.2 kW,230 V,~6.2 A,5 Star,Inverter
Daikin,JTKJ50TV,1.5,~1.50,R32,~5.2 kW,230 V,~6.5 A,5 Star,Inverter
Daikin,ATKM35TV,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
Daikin,ATKM50TV,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
Daikin,FTL35TV,1,~1.10,R410A,~3.5 kW,230 V,~5.0 A,3 Star,Non-Inverter
Daikin,FTL50TV,1.5,~1.60,R410A,~5.0 kW,230 V,~7.0 A,3 Star,Non-Inverter
Daikin,FTKF25TV,0.8,~0.75,R32,~2.5 kW,230 V,~3.5 A,5 Star,Inverter
Daikin,FTKF35TV,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
Daikin,FTKF50TV,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
Daikin,FTKF60TV,1.8,~1.70,R32,~6.0 kW,230 V,~7.5 A,5 Star,Inverter
Daikin,FTKF71TV,2,~2.00,R32,~6.8 kW,230 V,~8.5 A,5 Star,Inverter
Daikin,FTKM25TV,0.8,~0.70,R32,~2.5 kW,230 V,~3.2 A,5 Star,Inverter
Daikin,FTKM35TV,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
Daikin,FTKM50TV,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,5 Star,Inverter
Daikin,FTKM60TV,1.8,~1.65,R32,~6.0 kW,230 V,~7.2 A,5 Star,Inverter
Daikin,FTKM71TV,2,~1.95,R32,~6.8 kW,230 V,~8.2 A,5 Star,Inverter
Daikin,FTKR35TV,1,~1.00,R32,~3.6 kW,230 V,~4.8 A,5 Star,Inverter
Daikin,FTKR50TV,1.5,~1.40,R32,~5.2 kW,230 V,~6.2 A,5 Star,Inverter
Daikin,FTKR60TV,1.8,~1.75,R32,~6.2 kW,230 V,~7.8 A,5 Star,Inverter
Daikin,FTKR71TV,2,~2.10,R32,~7.0 kW,230 V,~9.0 A,5 Star,Inverter
Daikin,ATKM25TV,0.8,~0.75,R32,~2.5 kW,230 V,~3.5 A,5 Star,Inverter
Daikin,ATKM35TV,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
Daikin,ATKM50TV,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
Daikin,ATKM60TV,1.8,~1.70,R32,~6.0 kW,230 V,~7.5 A,5 Star,Inverter
