Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
LG,US-Q12YNZA,1,~0.92,R32,~3.5 kW,230 V,~4.3 A,5 Star,Inverter
LG,US-Q18YNZA,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,5 Star,Inverter
LG,US-Q24YNZA,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,5 Star,Inverter
LG,US-U12YNZA,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
LG,US-U18YNZA,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
LG,US-U24YNZA,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,5 Star,Inverter
LG,KS-Q12YNZA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,4 Star,Inverter
LG,KS-Q18YNZA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,4 Star,Inverter
LG,KS-Q24YNZA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,4 Star,Inverter
LG,KS-U12YNZA,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,4 Star,Inverter
LG,KS-U18YNZA,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,4 Star,Inverter
LG,KS-U24YNZA,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,4 Star,Inverter
LG,LWA5CP3A,1.5,~1.60,R410A,~5.0 kW,230 V,~7.0 A,3 Star,Non-Inverter
LG,LWA3CP3A,1,~1.10,R410A,~3.5 kW,230 V,~5.0 A,3 Star,Non-Inverter
LG,US-W12YNZA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
LG,US-W18YNZA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,5 Star,Inverter
LG,US-W24YNZA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,5 Star,Inverter
LG,KS-W12YNZA,1,~0.92,R32,~3.5 kW,230 V,~4.3 A,4 Star,Inverter
LG,KS-W18YNZA,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,4 Star,Inverter
LG,KS-W24YNZA,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,4 Star,Inverter
LG,US-Q12CNXA,1,~0.88,R32,~3.5 kW,230 V,~4.1 A,5 Star,Inverter
LG,US-Q18CNXA,1.5,~1.25,R32,~5.0 kW,230 V,~5.5 A,5 Star,Inverter
LG,US-Q24CNXA,2,~1.80,R32,~6.2 kW,230 V,~7.8 A,5 Star,Inverter
LG,KS-Q12CNXA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,4 Star,Inverter
LG,KS-Q18CNXA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,4 Star,Inverter
LG,KS-Q24CNXA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,4 Star,Inverter
LG,LWA5GW3A,1.5,~1.65,R410A,~5.0 kW,230 V,~7.2 A,3 Star,Non-Inverter
