Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
Mitsubishi Electric,MSY-JP13VF,1,1.29,R32,3.6 kW,230 V,6.0 A,3 Star,Inverter
Mitsubishi Electric,MSY-JS13VF,1,1.27,R32,3.6 kW,230 V,6.0 A,3 Star,Inverter
Mitsubishi Electric,MSY-GR18VF,1.5,1.36,R32,5.2 kW,230 V,6.2 A,4 Star,Inverter
Mitsubishi Electric,MS-GK24VA,2,1.85,R410A,6.6 kW,230 V,8.2 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK20CSS-S6,1.6,1.35,R410A,6.0 kW,230 V,6.1 A,3 Star,Non-Inverter
Mitsubishi Electric,MSY-GR22VF,1.9,1.75,R32,6.8 kW,230 V,7.5 A,4 Star,Inverter
Mitsubishi Electric,MSY-GN18VF,1.5,1.45,R32,5.2 kW,230 V,6.6 A,3 Star,Inverter
Mitsubishi Electric,MSY-GE18VA,1.5,1.43,R410A,5.0 kW,230 V,6.4 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK20CXS-S6,1.6,1.31,R32,5.8 kW,230 V,5.8 A,4 Star,Inverter
Mitsubishi Heavy,SRK18YYM-S6,1.5,1.35,R32,5.0 kW,230 V,6.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK15CXS-W6,1.3,1.1,R32,3.75 kW,230 V,5.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK24CW-S6,1.9,1.9,R410A,6.8 kW,230 V,8.5 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK71ZR-S6,2.2,2.1,R410A,7.1 kW,230 V,9.0 A,3 Star,Non-Inverter
Mitsubishi Electric,MSY-RJX18VF,1.5,1.9,R32,5.2 kW,230 V,8.4 A,4 Star,Inverter
Mitsubishi Electric,MSY-GE13VA,1,1.1,R410A,3.5 kW,230 V,5.0 A,3 Star,Non-Inverter
Mitsubishi Electric,MS-GS18VF,1.5,1.6,R410A,5.0 kW,230 V,7.0 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK13YXS-W6,1.1,0.95,R32,3.2 kW,230 V,4.5 A,5 Star,Inverter
Mitsubishi Heavy,SRK25CSS-S6,2.2,1.95,R410A,7.6 kW,230 V,8.6 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK18CS-S6,1.6,1.41,R410A,7.2 kW,230 V,6.5 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK24YVS-W6,2,2,R32,7.0 kW,230 V,8.5 A,4 Star,Inverter
