Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
Voltas,123V CZT,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,3 Star,Inverter
Voltas,125V CZT,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
Voltas,183V CZT,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,3 Star,Inverter
Voltas,185V CZT,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,5 Star,Inverter
Voltas,243V CZT,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,3 Star,Inverter
Voltas,245V CZT,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,5 Star,Inverter
Voltas,183V Vectra,1.5,~1.40,R32,~5.2 kW,230 V,~6.2 A,4 Star,Inverter
Voltas,185V Vectra,1.5,~1.32,R32,~5.0 kW,230 V,~5.9 A,5 Star,Inverter
Voltas,243V Vectra,2,~2.00,R32,~6.5 kW,230 V,~8.5 A,4 Star,Inverter
Voltas,245V Vectra,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,5 Star,Inverter
Voltas,183C EZT,1.5,~1.60,R410A,~5.0 kW,230 V,~7.0 A,3 Star,Non-Inverter
Voltas,185C EZT,1.5,~1.55,R410A,~5.0 kW,230 V,~6.8 A,5 Star,Non-Inverter
Voltas,243C EZT,2,~2.10,R410A,~6.2 kW,230 V,~9.0 A,3 Star,Non-Inverter
Voltas,245C EZT,2,~2.05,R410A,~6.2 kW,230 V,~8.8 A,5 Star,Non-Inverter
Voltas,183V Adjustable,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,3 Star,Inverter
Voltas,185V Adjustable,1.5,~1.25,R32,~5.0 kW,230 V,~5.6 A,5 Star,Inverter
Voltas,243V Adjustable,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,3 Star,Inverter
Voltas,245V Adjustable,2,~1.80,R32,~6.2 kW,230 V,~7.8 A,5 Star,Inverter
Voltas,183V AllWeather,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,3 Star,Inverter
Voltas,185V AllWeather,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,5 Star,Inverter
Voltas,243V AllWeather,2,~1.95,R32,~6.2 kW,230 V,~8.3 A,3 Star,Inverter
Voltas,245V AllWeather,2,~1.88,R32,~6.2 kW,230 V,~8.1 A,5 Star,Inverter
Voltas,123 LZF,1,~1.10,R410A,~3.5 kW,230 V,~5.0 A,3 Star,Non-Inverter
Voltas,125 LZF,1,~1.05,R32,~3.5 kW,230 V,~4.8 A,5 Star,Non-Inverter
Voltas,183 LZF,1.5,~1.60,R410A,~5.0 kW,230 V,~7.0 A,3 Star,Non-Inverter
Voltas,185 LZF,1.5,~1.55,R32,~5.0 kW,230 V,~6.8 A,5 Star,Non-Inverter
Voltas,243 LZF,2,~2.10,R410A,~6.2 kW,230 V,~9.0 A,3 Star,Non-Inverter
Voltas,245 LZF,2,~2.05,R32,~6.2 kW,230 V,~8.8 A,5 Star,Non-Inverter
Voltas,CASSETTE 24V,2,~2.20,R410A,~6.5 kW,230 V,~9.5 A,3 Star,Non-Inverter
Voltas,CASSETTE 36V,3,~3.30,R410A,~9.0 kW,230 V,~14.0 A,3 Star,Non-Inverter
Voltas,CASSETTE 48V,4,~4.50,R410A,~12.5 kW,230 V,~18.5 A,3 Star,Non-Inverter
Voltas,INVERTER CASSETTE 24V,2,~2.00,R32,~6.5 kW,230 V,~8.8 A,4 Star,Inverter
Voltas,INVERTER CASSETTE 36V,3,~3.10,R32,~9.0 kW,230 V,~13.2 A,4 Star,Inverter
Voltas,123V Vectra Elite,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
Voltas,125V Vectra Elite,1,~0.88,R32,~3.5 kW,230 V,~4.1 A,5 Star,Inverter
